@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %08s "CI_CELL1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720814
@ CHARGE           %le                   1
@ ENERGY           %le                  20
@ PC               %le         19.97797901
@ GAMMA            %le         21.31577865
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ LENGTH           %le                1000
@ ALFA             %le        0.1789932276
@ ORBIT5           %le                  -0
@ GAMMATR          %le         2.363642011
@ Q1               %le         2.395724244
@ Q2               %le         2.395724244
@ DQ1              %le        -2.518384148
@ DQ2              %le        -2.518384148
@ DXMAX            %le         34.45748962
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         100.0267292
@ BETYMAX          %le         100.0267292
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         29.03430831
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %09s "Example 1"
@ ORIGIN           %16s "5.03.07 Linux 64"
@ DATE             %08s "23/05/18"
@ TIME             %08s "20.56.04"
* NAME               KEYWORD                             S                  L              ANGLE                K0L                K1L                K2L                K3L                K4L                 E1                 E2 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "MB"                "MULTIPOLE"                      182.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_22"          "DRIFT"                          187.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      192.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_23"          "DRIFT"                         196.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QF"                "MULTIPOLE"                        200                  0                  0                  0             0.0294                  0                  0                  0                  0                  0
 "DRIFT_24"          "DRIFT"                         203.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      207.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_25"          "DRIFT"                          212.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      217.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_26"          "DRIFT"                         221.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QD"                "MULTIPOLE"                        225                  0                  0                  0            -0.0294                  0                  0                  0                  0                  0
 "DRIFT_27"          "DRIFT"                         228.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      232.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_28"          "DRIFT"                          237.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      242.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_29"          "DRIFT"                         246.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QF"                "MULTIPOLE"                        250                  0                  0                  0             0.0294                  0                  0                  0                  0                  0
 "DRIFT_30"          "DRIFT"                         253.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      257.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_31"          "DRIFT"                          262.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      267.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_32"          "DRIFT"                         271.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QD"                "MULTIPOLE"                        275                  0                  0                  0            -0.0294                  0                  0                  0                  0                  0
 "DRIFT_33"          "DRIFT"                         278.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      282.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_34"          "DRIFT"                          287.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      292.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_35"          "DRIFT"                         296.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QF"                "MULTIPOLE"                        300                  0                  0                  0             0.0294                  0                  0                  0                  0                  0
 "DRIFT_36"          "DRIFT"                         303.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      307.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_37"          "DRIFT"                          312.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      317.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_38"          "DRIFT"                         321.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QD"                "MULTIPOLE"                        325                  0                  0                  0            -0.0294                  0                  0                  0                  0                  0
 "DRIFT_39"          "DRIFT"                         328.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      332.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_40"          "DRIFT"                          337.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      342.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_41"          "DRIFT"                         346.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QF"                "MULTIPOLE"                        350                  0                  0                  0             0.0294                  0                  0                  0                  0                  0
 "DRIFT_42"          "DRIFT"                         353.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      357.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_43"          "DRIFT"                          362.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      367.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_44"          "DRIFT"                         371.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QD"                "MULTIPOLE"                        375                  0                  0                  0            -0.0294                  0                  0                  0                  0                  0
 "DRIFT_45"          "DRIFT"                         378.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      382.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_46"          "DRIFT"                          387.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      392.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_47"          "DRIFT"                         396.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QF"                "MULTIPOLE"                        400                  0                  0                  0             0.0294                  0                  0                  0                  0                  0
 "DRIFT_48"          "DRIFT"                         403.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      407.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_49"          "DRIFT"                          412.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      417.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_50"          "DRIFT"                         421.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QD"                "MULTIPOLE"                        425                  0                  0                  0            -0.0294                  0                  0                  0                  0                  0
 "DRIFT_51"          "DRIFT"                         428.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      432.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_52"          "DRIFT"                          437.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      442.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_53"          "DRIFT"                         446.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QF"                "MULTIPOLE"                        450                  0                  0                  0             0.0294                  0                  0                  0                  0                  0
 "DRIFT_54"          "DRIFT"                         453.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      457.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_55"          "DRIFT"                          462.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      467.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_56"          "DRIFT"                         471.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QD"                "MULTIPOLE"                        475                  0                  0                  0            -0.0294                  0                  0                  0                  0                  0
 "DRIFT_57"          "DRIFT"                         478.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      482.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_58"          "DRIFT"                          487.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      492.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_59"          "DRIFT"                         496.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QF"                "MULTIPOLE"                        500                  0                  0                  0             0.0294                  0                  0                  0                  0                  0
 "DRIFT_60"          "DRIFT"                         503.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      507.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_61"          "DRIFT"                          512.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      517.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_62"          "DRIFT"                         521.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QD"                "MULTIPOLE"                        525                  0                  0                  0            -0.0294                  0                  0                  0                  0                  0
 "DRIFT_63"          "DRIFT"                         528.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      532.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_64"          "DRIFT"                          537.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      542.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_65"          "DRIFT"                         546.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QF"                "MULTIPOLE"                        550                  0                  0                  0             0.0294                  0                  0                  0                  0                  0
 "DRIFT_66"          "DRIFT"                         553.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      557.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_67"          "DRIFT"                          562.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      567.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_68"          "DRIFT"                         571.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QD"                "MULTIPOLE"                        575                  0                  0                  0            -0.0294                  0                  0                  0                  0                  0
 "DRIFT_69"          "DRIFT"                         578.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      582.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_70"          "DRIFT"                          587.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      592.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_71"          "DRIFT"                         596.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QF"                "MULTIPOLE"                        600                  0                  0                  0             0.0294                  0                  0                  0                  0                  0
 "DRIFT_72"          "DRIFT"                         603.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      607.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_73"          "DRIFT"                          612.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      617.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_74"          "DRIFT"                         621.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QD"                "MULTIPOLE"                        625                  0                  0                  0            -0.0294                  0                  0                  0                  0                  0
 "DRIFT_75"          "DRIFT"                         628.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      632.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_76"          "DRIFT"                          637.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      642.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_77"          "DRIFT"                         646.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QF"                "MULTIPOLE"                        650                  0                  0                  0             0.0294                  0                  0                  0                  0                  0
 "DRIFT_78"          "DRIFT"                         653.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      657.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_79"          "DRIFT"                          662.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      667.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_80"          "DRIFT"                         671.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QD"                "MULTIPOLE"                        675                  0                  0                  0            -0.0294                  0                  0                  0                  0                  0
 "DRIFT_81"          "DRIFT"                         678.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      682.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_82"          "DRIFT"                          687.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      692.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_83"          "DRIFT"                         696.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QF"                "MULTIPOLE"                        700                  0                  0                  0             0.0294                  0                  0                  0                  0                  0
 "DRIFT_84"          "DRIFT"                         703.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      707.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_85"          "DRIFT"                          712.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      717.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_86"          "DRIFT"                         721.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QD"                "MULTIPOLE"                        725                  0                  0                  0            -0.0294                  0                  0                  0                  0                  0
 "DRIFT_87"          "DRIFT"                         728.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      732.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_88"          "DRIFT"                          737.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      742.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_89"          "DRIFT"                         746.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QF"                "MULTIPOLE"                        750                  0                  0                  0             0.0294                  0                  0                  0                  0                  0
 "DRIFT_90"          "DRIFT"                         753.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      757.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_91"          "DRIFT"                          762.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      767.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_92"          "DRIFT"                         771.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QD"                "MULTIPOLE"                        775                  0                  0                  0            -0.0294                  0                  0                  0                  0                  0
 "DRIFT_93"          "DRIFT"                         778.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      782.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_94"          "DRIFT"                          787.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      792.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_95"          "DRIFT"                         796.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QF"                "MULTIPOLE"                        800                  0                  0                  0             0.0294                  0                  0                  0                  0                  0
 "DRIFT_96"          "DRIFT"                         803.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      807.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_97"          "DRIFT"                          812.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      817.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_98"          "DRIFT"                         821.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QD"                "MULTIPOLE"                        825                  0                  0                  0            -0.0294                  0                  0                  0                  0                  0
 "DRIFT_99"          "DRIFT"                         828.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                      832.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
